_ID,TimeSt,Country,Province,City,Latitude,Longitude
5238430,2017-06-21 15:51:00.110,CA,ON,Mississauga,43.58900,-79.71800
5260932,2017-06-21 15:52:33.230,CA,ON,Toronto,43.67200,-79.37910
5369113,2017-06-21 16:00:02.460,CA,ON,Barrie,44.38510,-79.69910
4600634,2017-06-21 16:04:09.230,CA,ON,Brampton,43.78000,-79.74000
4939185,2017-06-21 16:30:43.210,CA,AB,Calgary,51.12770,-113.95000
4953169,2017-06-21 16:31:23.120,CA,ON,Toronto,43.64300,-79.33830
4966991,2017-06-21 16:32:09.813,CA,ON,Orangeville,43.92020,-80.09420
5267256,2017-06-21 16:53:03.350,CA,SK,Saskatoon,52.12200,-106.64600
5553587,2017-06-21 17:17:53.580,CA,AB,Fort Mcmurray,56.73770,-111.43800
4919474,2017-06-21 17:29:18.123,CA,AB,Edmonton,53.60754,-113.48698
5102515,2017-06-21 17:41:16.563,CA,ON,Kingston,44.23770,-76.56020
4706979,2017-06-21 18:12:04.483,CA,AB,Edmonton,53.60750,-113.48717
4767197,2017-06-21 18:16:32.273,CA,ON,Burlington,43.37560,-79.81450
4892541,2017-06-21 18:26:46.410,CA,AB,Edmonton,53.54241,-113.63878
4587497,2017-06-21 19:02:59.020,CA,AB,Calgary,51.04940,-113.95640
5448491,2017-06-21 19:08:23.327,CA,ON,Etobicoke,43.66106,-79.57372
4868048,2017-06-21 19:24:37.460,CA,ON,Guelph,43.51180,-80.23940
4750973,2017-06-21 20:15:21.003,CA,AB,Calgary,51.09150,-114.20730
4825653,2017-06-21 20:21:03.827,CA,ON,Toronto,43.75370,-79.26590
5067268,2017-06-21 20:38:29.923,CA,ON,Scarborough,43.83601,-79.22783
5156073,2017-06-21 20:44:39.273,CA,AB,Red Deer,52.28950,-113.81400
4621193,2017-06-21 21:05:42.693,CA,QC,Vaudreuil-Dorion,45.38380,-74.04100
4679832,2017-06-21 21:09:45.340,CA,AB,Spruce Grove,53.55940,-113.88400
5120043,2017-06-21 21:42:19.620,CA,QC,Bishopton,45.69977,-71.45879
5349340,2017-06-21 21:58:56.260,CA,AB,Calgary,51.03780,-114.08000
4617922,2017-06-21 22:05:25.173,CA,QC,Laval,45.57710,-73.68730
4872622,2017-06-21 22:25:06.500,CA,AB,Fort Mcmurray,56.71410,-111.38000
4986667,2017-06-21 22:33:22.300,CA,AB,Lethbridge,49.66240,-112.91600
5443897,2017-06-21 00:07:37.953,CA,AB,Calgary,51.06210,-114.11590
4824441,2017-06-21 00:20:59.450,CA,BC,Mackenzie,55.29030,-123.15936
5148112,2017-06-21 00:44:13.067,CA,AB,Edmonton,53.65850,-113.36140
4536873,2017-06-21 01:01:07.147,CA,NS,Elmsdale,44.97537,-63.49725
5091661,2017-06-21 01:40:26.807,CA,AB,Calgary,51.12290,-114.18900
4970728,2017-06-21 02:32:25.347,CA,QC,Brossard,45.46930,-73.48480
5005951,2017-06-21 02:34:26.260,CA,ON,Ottawa,45.44550,-75.68940
5557232,2017-06-21 03:18:08.563,CA,ON,Mississauga,43.56519,-79.62285
4955161,2017-06-21 03:31:28.360,CA,ON,Toronto,43.66820,-79.42090
5026343,2017-06-21 03:35:39.107,CA,AB,Edmonton,53.50748,-113.68446
5086865,2017-06-21 03:40:01.370,CA,ON,North York,43.78700,-79.41690
5103891,2017-06-21 03:41:21.870,CA,BC,Terrace,54.51392,-128.61536
5296624,2017-06-21 03:54:59.170,CA,ON,Mississauga,43.56519,-79.62285
4690864,2017-06-21 04:10:45.973,CA,AB,Calgary,51.05810,-114.06400
5486721,2017-06-21 04:11:47.900,CA,SK,Saskatoon,52.12250,-106.72488
4888969,2017-06-21 04:26:29.470,CA,NL,Corner Brook,48.95160,-57.95530
5121141,2017-06-21 04:42:23.330,CA,AB,Edmonton,53.49913,-113.50035
5178630,2017-06-21 04:46:10.823,CA,QC,Montreal,45.56950,-73.57310
5420382,2017-06-21 05:04:53.790,CA,AB,Calgary,50.98190,-114.10040
5524672,2017-06-21 05:15:32.153,CA,AB,Calgary,51.00810,-114.07300
5218694,2017-06-21 05:49:18.037,CA,QC,Gatineau,45.48960,-75.63310
5292256,2017-06-21 05:54:44.403,CA,AB,Lethbridge,49.68360,-112.83400
5401258,2017-06-21 06:02:53.677,CA,ON,Saint Catharines,43.19410,-79.25250
5483405,2017-06-21 06:11:30.480,CA,AB,Taber,49.77724,-112.14275
5521620,2017-06-21 06:15:18.547,CA,AB,Calgary,51.09150,-114.20730
5262043,2017-06-21 06:52:35.913,CA,ON,Oshawa,43.92050,-78.82870
5439245,2017-06-21 07:07:10.823,CA,ON,Pickering,43.83150,-79.13349
4660220,2017-06-21 07:08:12.797,CA,AB,Edmonton,53.62085,-113.50326
4682642,2017-06-21 07:10:00.807,CA,AB,Lacombe,52.46319,-113.72604
4822399,2017-06-21 07:20:53.900,CA,BC,108 Mile Ranch,51.73948,-121.33789
5102067,2017-06-21 07:41:17.583,CA,AB,Lethbridge,49.69940,-112.82200
5258763,2017-06-21 07:52:26.693,CA,AB,Calgary,50.95050,-113.94700
5358249,2017-06-21 07:59:18.897,CA,AB,Edmonton,53.46430,-113.43710
5603825,2017-06-21 08:21:42.850,CA,AB,Okotoks,50.73620,-113.96950
5019796,2017-06-21 08:34:59.583,CA,SK,Regina,50.45595,-104.62701
5286341,2017-06-21 08:54:29.367,CA,ON,Markham,43.87470,-79.25990
5296348,2017-06-21 08:54:57.303,CA,AB,Calgary,51.08230,-113.95780
5426524,2017-06-21 09:05:36.563,CA,ON,Cobalt,47.46090,-79.63250
4691594,2017-06-21 09:10:47.090,CA,ON,Ottawa,45.42980,-75.69310
4825532,2017-06-21 09:21:06.957,CA,AB,Edmonton,53.59728,-113.43922
5610360,2017-06-21 09:22:37.947,CA,SK,Regina,50.44317,-104.64014
4861113,2017-06-21 09:24:03.493,CA,ON,Toronto,43.66820,-79.42090
4928517,2017-06-21 09:30:06.520,CA,ON,North York,43.73020,-79.49510
5050539,2017-06-21 09:37:24.910,CA,AB,Leduc,53.27059,-113.55144
5126754,2017-06-21 09:42:47.417,CA,AB,Edmonton,53.41490,-113.45700
4532249,2017-06-21 10:00:47.003,CA,QC,Drummondville,45.86500,-72.50360
4609479,2017-06-21 10:04:47.567,CA,ON,North York,43.78010,-79.34790
5010815,2017-06-21 10:34:42.273,CA,AB,Calgary,51.08230,-114.14200
5089392,2017-06-21 10:40:16.640,CA,ON,Newmarket,44.05870,-79.45910
5144435,2017-06-21 10:43:59.983,CA,ON,Kingston,44.23770,-76.56020
4591212,2017-06-21 11:03:15.817,CA,AB,Calgary,51.12640,-114.14190
4597305,2017-06-21 11:03:54.670,CA,AB,Calgary,51.01890,-114.15700
4975755,2017-06-21 11:32:40.183,CA,AB,Stony Plain,53.53565,-113.98655
4653900,2017-06-21 12:07:41.403,CA,SK,Regina,50.48550,-104.61630
5446060,2017-06-21 12:07:53.503,CA,AB,Calgary,51.15810,-113.93800
4658694,2017-06-21 12:08:06.243,CA,ON,Parry Sound,45.34970,-80.00850
4943717,2017-06-21 12:30:53.667,CA,ON,Scarborough,43.75993,-79.19740
5277986,2017-06-21 13:53:52.197,CA,QC,Gatineau,45.50670,-75.62920
4646978,2017-06-21 14:07:18.380,CA,AB,Calgary,51.16690,-114.11300
5463703,2017-06-21 14:10:05.637,CA,ON,Mississauga,43.58690,-79.75590
4692809,2017-06-21 14:11:00.857,CA,QC,Montréal,45.53350,-73.66700
4859386,2017-06-21 14:23:45.967,CA,ON,Scarborough,43.72620,-79.23200
5162708,2017-06-21 14:45:15.033,CA,AB,Edmonton,53.53235,-113.57952
5314109,2017-06-21 14:55:56.843,CA,BC,Vancouver,49.27984,-123.13132
5387580,2017-06-21 15:01:39.210,CA,ON,London,43.00706,-81.16598
4788604,2017-06-21 15:17:51.417,CA,ON,Mississauga,43.58070,-79.79360
4953731,2017-06-21 15:31:19.723,CA,AB,Edmonton,53.40441,-113.52367
4561388,2017-06-21 16:01:47.643,CA,ON,Bracebridge,45.02703,-79.30982
5483349,2017-06-21 16:11:30.280,CA,SK,Yorkton,51.21488,-102.46260
4807266,2017-06-21 16:19:27.317,CA,AB,Edmonton,53.42941,-113.42384
5339056,2017-06-21 16:57:53.713,CA,AB,Calgary,51.02720,-114.03490
4547930,2017-06-21 17:01:33.647,CA,ON,Windsor,42.29570,-82.95990
